Pattern, Confidence-Frequence-Frequence %
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_2']]], [1.0-9-0.01%]]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_1'], ['QuasiPiena_T1_0'], ['Piena_T2_2']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_0']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_2']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_3']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T2_2']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T2_3']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T2_1']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_2'], ['Piena_T1_0'], ['QuasiPiena_T2_2']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_2'], ['Piena_T1_0'], ['QuasiPiena_T2_3']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_2'], ['Piena_T1_0'], ['QuasiPiena_T2_1']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_2'], ['QuasiPiena_T1_3'], ['QuasiPiena_T2_2']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_2'], ['QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_2'], ['QuasiPiena_T1_3'], ['QuasiPiena_T2_1']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_2'], ['QuasiPiena_T1_3'], ['Piena_T2_3']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_2'], ['QuasiPiena_T1_3'], ['Piena_T2_0']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_2'], ['QuasiPiena_T1_3'], ['Piena_T2_2']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_2'], ['Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_2'], ['Piena_T1_1'], ['QuasiPiena_T2_3']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3,Piena_T0_2'], ['Piena_T1_1'], ['QuasiPiena_T2_1']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_0,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_0,Piena_T1_1'], ['QuasiPiena_T2_3']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_0,Piena_T1_1'], ['QuasiPiena_T2_1']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_0,Piena_T1_1'], ['Piena_T2_3']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_0,Piena_T1_1'], ['Piena_T2_0']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_0,Piena_T1_1'], ['Piena_T2_2']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_0']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['Piena_T2_3']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['Piena_T2_1']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['Piena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['Piena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_3']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['Piena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_1']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_1']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_0']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['Piena_T1_3'], ['QuasiPiena_T2_1']]], [1.0-2-0.0%]]
[[[['Piena_T0_0,QuasiPiena_T0_3'], ['Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_1']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_0,Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_1']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_2']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_1']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_2,Piena_T1_2'], ['Piena_T2_0']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_2,Piena_T1_2'], ['Piena_T2_2']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,Piena_T1_2'], ['QuasiPiena_T2_2']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,Piena_T1_2'], ['QuasiPiena_T2_1']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,Piena_T1_2'], ['QuasiPiena_T2_0']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,Piena_T1_2'], ['Piena_T2_3']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,Piena_T1_2'], ['Piena_T2_1']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_3']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_0']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,QuasiPiena_T1_1'], ['Piena_T2_3']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,QuasiPiena_T1_1'], ['Piena_T2_0']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,QuasiPiena_T1_1'], ['Piena_T2_1']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['Piena_T1_3,Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_1']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['Piena_T1_3,Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['Piena_T1_3,Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_3']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['Piena_T1_3,Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_0']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_2'], ['QuasiPiena_T2_2']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['Piena_T1_2,Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-2-0.0%]]
[[[['Piena_T0_0'], ['Piena_T1_2,Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_1']]], [1.0-2-0.0%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,Piena_T0_2'], ['Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-19-0.01%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-19-0.01%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T1_1,Piena_T1_1'], ['Piena_T2_1']]], [1.0-19-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0,Piena_T0_1'], ['Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-18-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_0']]], [1.0-18-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_2']]], [1.0-18-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_1,Piena_T0_1'], ['QuasiPiena_T1_2']]], [1.0-18-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_1,Piena_T0_1'], ['Piena_T1_1']]], [1.0-18-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_1'], ['Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-17-0.01%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_2']]], [1.0-17-0.01%]]
[[[['Piena_T0_0,Piena_T0_1'], ['Piena_T1_0,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-17-0.01%]]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_0']]], [1.0-17-0.01%]]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_0,QuasiPiena_T1_2']]], [1.0-17-0.01%]]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_2']]], [1.0-17-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_2,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_0']]], [1.0-17-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_2,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_2']]], [1.0-17-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['Piena_T1_0,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-16-0.01%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2'], ['Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-16-0.01%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['Piena_T1_0,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-16-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_0']]], [1.0-16-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_2']]], [1.0-16-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_1'], ['QuasiPiena_T1_2']]], [1.0-16-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_1'], ['QuasiPiena_T2_2']]], [1.0-16-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_1'], ['Piena_T1_1']]], [1.0-16-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0'], ['Piena_T1_0,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-16-0.01%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T1_0,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-15-0.01%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-15-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_1,Piena_T0_1'], ['Piena_T1_0'], ['QuasiPiena_T2_2']]], [1.0-15-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_2,QuasiPiena_T0_2'], ['QuasiPiena_T1_2']]], [1.0-15-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_0,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-14-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], [1.0-14-0.01%]]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], [1.0-14-0.01%]]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-14-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_2']]], [1.0-14-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_3,Piena_T0_1'], ['QuasiPiena_T1_2']]], [1.0-14-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_2']]], [1.0-14-0.01%]]
[[[['Piena_T0_0'], ['Piena_T1_0,QuasiPiena_T1_0,QuasiPiena_T1_1'], ['QuasiPiena_T2_3']]], [1.0-14-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-13-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-13-0.01%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['Piena_T2_2']]], [1.0-13-0.01%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-13-0.01%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_2']]], [1.0-13-0.01%]]
[[[['QuasiPiena_T0_0'], ['Piena_T1_0,QuasiPiena_T1_0,QuasiPiena_T1_1'], ['QuasiPiena_T2_3']]], [1.0-13-0.01%]]
[[[['Piena_T0_0,Piena_T0_1'], ['Piena_T1_0,QuasiPiena_T1_0'], ['QuasiPiena_T2_2']]], [1.0-13-0.01%]]
[[[['Piena_T0_0,Piena_T0_1'], ['Piena_T1_0,QuasiPiena_T1_0'], ['QuasiPiena_T2_3']]], [1.0-13-0.01%]]
[[[['Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-13-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_1'], ['Piena_T1_0,QuasiPiena_T1_3'], ['QuasiPiena_T2_1']]], [1.0-13-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['QuasiPiena_T1_2']]], [1.0-13-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_1'], ['QuasiPiena_T1_2']]], [1.0-13-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-13-0.01%]]
[[[['Piena_T0_0'], ['Piena_T1_0,QuasiPiena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-13-0.01%]]
[[[['Piena_T0_0'], ['Piena_T1_0,QuasiPiena_T1_1,Piena_T1_1'], ['Piena_T2_1']]], [1.0-13-0.01%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-13-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['Piena_T1_0,QuasiPiena_T1_0'], ['QuasiPiena_T2_2']]], [1.0-12-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['Piena_T1_0,QuasiPiena_T1_0'], ['QuasiPiena_T2_3']]], [1.0-12-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], [1.0-12-0.01%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,Piena_T0_1'], ['QuasiPiena_T1_0'], ['QuasiPiena_T2_2']]], [1.0-12-0.01%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-12-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0,Piena_T0_2'], ['Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-12-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_3,Piena_T0_1'], ['Piena_T1_0']]], [1.0-12-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_3,Piena_T0_1'], ['QuasiPiena_T1_2']]], [1.0-12-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-12-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0'], ['QuasiPiena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-12-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0'], ['QuasiPiena_T1_1,Piena_T1_1'], ['Piena_T2_1']]], [1.0-12-0.01%]]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-12-0.01%]]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-12-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_2,QuasiPiena_T1_3'], ['QuasiPiena_T2_2']]], [1.0-12-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_1'], ['Piena_T1_0'], ['QuasiPiena_T2_2']]], [1.0-11-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_0,QuasiPiena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-11-0.01%]]
[[[['Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], [1.0-11-0.01%]]
[[[['Piena_T0_0,Piena_T0_2'], ['Piena_T1_0,QuasiPiena_T1_2'], ['QuasiPiena_T2_3']]], [1.0-11-0.01%]]
[[[['Piena_T0_0,Piena_T0_2'], ['Piena_T1_0,QuasiPiena_T1_0'], ['QuasiPiena_T2_3']]], [1.0-11-0.01%]]
[[[['Piena_T0_0,Piena_T0_2'], ['Piena_T1_0'], ['QuasiPiena_T2_3']]], [1.0-11-0.01%]]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_0,Piena_T1_2'], ['QuasiPiena_T2_2']]], [1.0-11-0.01%]]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], [1.0-11-0.01%]]
[[[['Piena_T0_0,Piena_T0_2'], ['Piena_T1_2'], ['QuasiPiena_T2_2']]], [1.0-11-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_1,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_0']]], [1.0-11-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_1,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_2']]], [1.0-11-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_1,Piena_T0_2,Piena_T0_1'], ['Piena_T1_1']]], [1.0-11-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_1,Piena_T0_1'], ['QuasiPiena_T1_1']]], [1.0-11-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_1'], ['Piena_T1_0,QuasiPiena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-11-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_1'], ['Piena_T1_0,QuasiPiena_T1_1'], ['Piena_T2_1']]], [1.0-11-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-11-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_1']]], [1.0-11-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_2,Piena_T0_2'], ['Piena_T1_0'], ['QuasiPiena_T2_3']]], [1.0-11-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_0']]], [1.0-11-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_2']]], [1.0-11-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_2'], ['QuasiPiena_T2_2']]], [1.0-11-0.01%]]
[[[['Piena_T0_0'], ['Piena_T1_0,QuasiPiena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-11-0.01%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-11-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_1'], ['QuasiPiena_T1_2'], ['QuasiPiena_T2_1']]], [1.0-10-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0,Piena_T0_2'], ['Piena_T1_0'], ['QuasiPiena_T2_2']]], [1.0-10-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0,Piena_T0_2'], ['Piena_T1_0'], ['QuasiPiena_T2_3']]], [1.0-10-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-10-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0,Piena_T0_2'], ['Piena_T1_2'], ['QuasiPiena_T2_2']]], [1.0-10-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_1,Piena_T0_2'], ['QuasiPiena_T1_0']]], [1.0-10-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_1,Piena_T0_2'], ['QuasiPiena_T1_2']]], [1.0-10-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_1,Piena_T0_2'], ['QuasiPiena_T2_2']]], [1.0-10-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_1,Piena_T0_2'], ['Piena_T1_1']]], [1.0-10-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-10-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_1'], ['Piena_T2_1']]], [1.0-10-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_1'], ['Piena_T1_0']]], [1.0-10-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], [1.0-10-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_0'], ['Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-10-0.01%]]
[[[['QuasiPiena_T0_0'], ['Piena_T1_0,QuasiPiena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-10-0.01%]]
[[[['QuasiPiena_T0_0'], ['Piena_T1_0,QuasiPiena_T1_3,Piena_T1_1'], ['Piena_T2_3']]], [1.0-10-0.01%]]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,QuasiPiena_T1_2'], ['Piena_T2_2']]], [1.0-10-0.01%]]
[[[['Piena_T0_0,Piena_T0_1'], ['Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-10-0.01%]]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_1'], ['Piena_T1_0'], ['QuasiPiena_T2_2']]], [1.0-10-0.01%]]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_1'], ['Piena_T1_0'], ['QuasiPiena_T2_3']]], [1.0-10-0.01%]]
[[[['Piena_T0_0,Piena_T0_2'], ['Piena_T1_0,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-10-0.01%]]
[[[['Piena_T0_0,Piena_T0_2'], ['Piena_T1_0,Piena_T1_1'], ['QuasiPiena_T2_3']]], [1.0-10-0.01%]]
